PU;NAME;WGMS_ID;SURVEY_ID;SURVEY_DATE;REFERENCE_DATE;AREA_SURVEY_YEAR;AREA_CHANGE;ELEV_CH;ELEV_CH_UNC;INVESTIGATOR;SPONS_AGENCY;REFERENCE;REMARKS
AQ;BAHIA DEL DIABLO;2665;1095;20110399;20010399;12.9;;-2550;270;S. Marinsek (1,2), E. Ermolin (1);(1) Instituto Antarctico Argentino, Buenos Aires, AR, (2) Univ. Tecnologica National, Facultad Regional Buenos Aires, AR;Marinsek, S., and E. Ermolin, 2015, Ann. Glaciol., 56, 141-146, 10.3189/2015AoG70A958;
AQ;HURD;3367;1244;20001215;19561215;4.73;-510;-3600;4400;;;"Cogley, G., 2009, Ann. Glaciol., 50, 96-100, 10.3189/172756409787769744; Molina, C., et al., 2007, Ann. Glaciol., 46, 43-49, 10.3189/172756407782871765";Methods used for survey/reference years are: AP/TG.
AQ;JOHNSONS;3366;1243;20009999;19569999;5.61;-10;-7500;4400;;;"Cogley, G., 2009, Ann. Glaciol., 50, 96-100, 10.3189/172756409787769744; Molina, C., et al., 2007, Ann. Glaciol., 46, 43-49, 10.3189/172756407782871765";Methods used for survey/reference years are: AP/TG.
AR;BROWN SUPERIOR;3903;1676;20150503;20140424;0.1751;-7.4;-2652;10;Gabriel Cabrera - IANIGLA;CGM Consultoria & Gestion Integral de Montania, Mitre 3200, Coquimbito-Maipu, 5515 Mendoza, Argentina;;2014/15 glacier monitoring report submitted to San Juan Province Government, Argentina, by the mininig companies BEASA and MAGSA.
AR;CHICO;3368;1245;20010930;19750315;192.7;;-45148;;;;Rivera, A., et al., 2005, J. Glaciol., 51, 105-112, 10.3189/172756505781829557;Combination aerial photograph - ASTER/GPS.
AR;CONCONTA NORTE;3902;1674;20150506;20140423;0.0704;-7.9;-3211;10;Gabriel Cabrera - IANIGLA;CGM Consultoria & Gestion Integral de Montania, Mitre 3200, Coquimbito-Maipu, 5515 Mendoza, Argentina;;2014/15 glacier monitoring report submitted to San Juan Province Government, Argentina, by the mininig companies BEASA and MAGSA.
AR;DE LOS TRES;1675;1029;19980315;19630301;0.976;-60;-2340;;;;"Cogley, G., 2009, Ann. Glaciol., 50, 96-100, 10.3189/172756409787769744; Popovnin, V.V., et al., 2006, Mater. Glyatsol. Issled., 100, 141-151";Methods used for survey/reference years are: AP/TP.
AR;FRIAS;1661;1020;19950515;19750315;28;0;-23650;;;;"Cogley, G., 2009, Ann. Glaciol., 50, 96-100, 10.3189/172756409787769744; Rignot, E., et al., 2003, Science, 302, 434-437, 10.1126/science.1087393";Methods used for survey/reference years are: AP/AP.
AR;FRIAS;1661;1022;20000210;19750315;28;0;-46000;;;;"Cogley, G., 2009, Ann. Glaciol., 50, 96-100, 10.3189/172756409787769744; Rignot, E., et al., 2003, Science, 302, 434-437, 10.1126/science.1087393";Methods used for survey/reference years are: AP/SI.
AR;FRIAS;1661;1021;20000210;19950515;28;0;-22350;;;;"Cogley, G., 2009, Ann. Glaciol., 50, 96-100, 10.3189/172756409787769744; Rignot, E., et al., 2003, Science, 302, 434-437, 10.1126/science.1087393";Methods used for survey/reference years are: AP/SI.
AR;LOS AMARILLOS;3904;1678;20150399;20140305;0.7796;-72;-1219;10;Gabriel Cabrera - IANIGLA;CGM Consultoria & Gestion Integral de Montania, Mitre 3200, Coquimbito-Maipu, 5515 Mendoza, Argentina;;2014/15 glacier monitoring report submitted to San Juan Province Government, Argentina, by the mininig company BEASA.
AR;MARTIAL ESTE;2000;1036;19980315;19840315;0.093;-10;-7000;;;;"Cogley, G., 2009, Ann. Glaciol., 50, 96-100, 10.3189/172756409787769744; Strelin, J., and R. Iturraspe, 2007, Global Planet. Change, 59, 17-26, 10.1016/j.gloplacha.2006.11.019";Methods used for survey/reference years are: TS/TS.
AR;MORENO;920;748;20000210;19750315;238;0;-10500;;;;"Cogley, G., 2009, Ann. Glaciol., 50, 96-100, 10.3189/172756409787769744; Rignot, E., et al., 2003, Science, 302, 434-437, 10.1126/science.1087393";Methods used for survey/reference years are: AP/SI.
AR;UPSALA;921;761;20000210;19680701;836;0;-23040;;;;"Cogley, G., 2009, Ann. Glaciol., 50, 96-100, 10.3189/172756409787769744; Rignot, E., et al., 2003, Science, 302, 434-437, 10.1126/science.1087393";Methods used for survey/reference years are: AP/SI.
AR;VIEDMA;3369;1246;20000210;19680701;891;0;-320;;;;"Cogley, G., 2009, Ann. Glaciol., 50, 96-100, 10.3189/172756409787769744; Rignot, E., et al., 2003, Science, 302, 434-437, 10.1126/science.1087393";Methods used for survey/reference years are: AP/SI.
AT;FURTSCHAGL K.;585;560;20090923;19999999;0.899784;-78.156;-4792;4200;Christoph Mayer;Commission for Glaciology of the Bavarian Academy of Sciences and Humanities;;
AT;GEPATSCH F.;522;534;19400701;19220701;18.23;-1330;-11340;;;;"Cogley, G., 2009, Ann. Glaciol., 50, 96-100, 10.3189/172756409787769744; Finsterwalder, Ri., 1953, Z. Gletsch.kd. Glazialgeol., 2, 189-239";Methods used for survey/reference years are: TP/TP.
AT;GEPATSCH F.;522;536;19530701;19400701;18.23;0;-4470;;;;"Cogley, G., 2009, Ann. Glaciol., 50, 96-100, 10.3189/172756409787769744; Finsterwalder, Rü., and H. Rentsch, 1980, Z. Gletsch.kd. Glazialgeol., 16, 111-115; Finsterwalder, Ri., 1953, Z. Gletsch.kd. Glazialgeol., 2, 189-239";Methods used for survey/reference years are: TP/TP.
AT;GEPATSCH F.;522;535;19539999;19229999;;;-15810;;;;Finsterwalder, Rü., and H. Rentsch, 1980, Z. Gletsch.kd. Glazialgeol., 16, 111-115;
AT;GEPATSCH F.;522;537;19580701;19530701;17.859;0;200;;;;"Cogley, G., 2009, Ann. Glaciol., 50, 96-100, 10.3189/172756409787769744; Finsterwalder, Rü., and H. Rentsch, 1976, Z. Gletsch.kd. Glazialgeol., 12, 29-35";Methods used for survey/reference years are: TP/TP.
AT;GEPATSCH F.;522;538;19710701;19580701;17.859;0;1170;;;;"Cogley, G., 2009, Ann. Glaciol., 50, 96-100, 10.3189/172756409787769744; Finsterwalder, Rü., and H. Rentsch, 1976, Z. Gletsch.kd. Glazialgeol., 12, 29-35";Methods used for survey/reference years are: TP/AP.
AT;GEPATSCH F.;522;539;19790814;19710701;18.143;284;1598;;;;;
AT;GEPATSCH F.;522;540;19900824;19790814;17.82;-651;-4357;;;;;
AT;GEPATSCH F.;522;541;19970901;19900901;17.346;-435;-3668;;DR. L.N. BRAUN;Commission for Glaciology, Bavarian Academy of Sciences, Marstallplatz 8, DE - 80539 München;;
AT;GRUENAU F.;599;590;19500701;19320701;1.79;-230;-10440;;;;"Cogley, G., 2009, Ann. Glaciol., 50, 96-100, 10.3189/172756409787769744; Finsterwalder, Ri., 1953, Z. Gletsch.kd. Glazialgeol., 2, 189-239";Methods used for survey/reference years are: TP/TP.
AT;GRUENAU F.;599;591;19590701;19500701;1.854;60;-2160;;;;"Finsterwalder, Rü., and H. Rentsch, 1980, Z. Gletsch.kd. Glazialgeol., 16, 111-115; Finsterwalder, Rü., and H. Rentsch, 1976, Z. Gletsch.kd. Glazialgeol., 12, 29-35";
AT;GRUENAU F.;599;592;19690701;19590701;1.93;0;3600;;;;"Finsterwalder, Rü., and H. Rentsch, 1980, Z. Gletsch.kd. Glazialgeol., 16, 111-115; Finsterwalder, Rü., and H. Rentsch, 1976, Z. Gletsch.kd. Glazialgeol., 12, 29-35";
AT;GRUENAU F.;599;593;19790814;19690701;1.941;87;1600;;;;Finsterwalder, Rü., and H. Rentsch, 1980, Z. Gletsch.kd. Glazialgeol., 16, 111-115;
AT;GRUENAU F.;599;594;19890701;19790814;1.93;-10;-1500;;;;;
AT;GRUENAU F.;599;595;19970901;19890901;1.72;-161;-3555;;DR. L.N. BRAUN;Commission for Glaciology, Bavarian Academy of Sciences, Marstallplatz 8, DE - 80539 München;;
AT;GRUENAU F.;599;596;20090923;19999999;1.630512;-93.096;-8562;4200;Christoph Mayer;Commission for Glaciology of the Bavarian Academy of Sciences and Humanities;;
AT;GURGLER F.;511;533;19810907;19690701;11.865;0;-2581;;;;;
AT;GUSLAR F.;490;509;19129999;18899999;4.113;;-6500;;;;Brunner, K., and H. Rentsch, 1972, Z. Gletsch.kd. Glazialgeol., 8, 11-25;old maps
AT;GUSLAR F.;490;510;19389999;19129999;3.666;;-7000;;;;Brunner, K., and H. Rentsch, 1972, Z. Gletsch.kd. Glazialgeol., 8, 11-25;old maps
AT;GUSLAR F.;490;511;19699999;19389999;2.986;;-14100;;;;Brunner, K., and H. Rentsch, 1972, Z. Gletsch.kd. Glazialgeol., 8, 11-25;old maps
AT;GUSLAR F.;490;512;19790701;19690701;3.029;32;1474;;;;Finsterwalder, Rü., and H. Rentsch, 1980, Z. Gletsch.kd. Glazialgeol., 16, 111-115;
AT;GUSLAR F.;490;513;19900701;19790701;2.63;-342;-7802;;;;Finsterwalder, Rü., and H. Rentsch, 1980, Z. Gletsch.kd. Glazialgeol., 16, 111-115;
AT;HINTEREIS F.;491;514;19200701;18949999;11.29;-260;-9880;;;;"Finsterwalder, Rü., and H. Rentsch, 1980, Z. Gletsch.kd. Glazialgeol., 16, 111-115; Finsterwalder, Rü., and H. Rentsch, 1992, Z. Gletsch.kd. Glazialgeol., 27/28, 165-172";"Data from: Finsterwalder & Rentsch (1980), Zeitschr. Gletscherk. Glazialgeol., 16(1): p. 107-110. Finsterwalder, R. (Ruediger), and H. Rentsch, 1992, Zeitschrift fur Gletscherkunde und Glazialgeologie, 27/28, 165-17; Data from: Finsterwalder & Rentsch (1980), Zeitschr. Gletscherk. Glazialgeol., 16(1): p. 107-110. Finsterwalder, R. (Ruediger), and H. Rentsch, 1992, Zeitschrift fur Gletscherkunde und Glazialgeologie, 27/28, 165-17"
AT;HINTEREIS F.;491;515;19400701;19200701;10.47;-820;-12600;;;;"Finsterwalder, Rü., and H. Rentsch, 1980, Z. Gletsch.kd. Glazialgeol., 16, 111-115; Finsterwalder, Rü., and H. Rentsch, 1992, Z. Gletsch.kd. Glazialgeol., 27/28, 165-172";
AT;HINTEREIS F.;491;516;19530701;19400701;10.24;-230;-11050;;;;"Finsterwalder, Rü., and H. Rentsch, 1980, Z. Gletsch.kd. Glazialgeol., 16, 111-115; Finsterwalder, Rü., and H. Rentsch, 1980, Z. Gletsch.kd. Glazialgeol., 16, 111-115";
AT;HINTEREIS F.;491;517;19599999;19539999;;;-2880;;;;Finsterwalder, Rü., and H. Rentsch, 1980, Z. Gletsch.kd. Glazialgeol., 16, 111-115;
AT;HINTEREIS F.;491;518;19640920;19530904;;;-8824;;;;Fischer, A., 2011, Cryosphere, 5, 107-124, 10.5194/tc-5-107-2011;
AT;HINTEREIS F.;491;519;19670901;19640920;;;1529;;;;Fischer, A., 2011, Cryosphere, 5, 107-124, 10.5194/tc-5-107-2011;
AT;HINTEREIS F.;491;520;19690901;19670901;;;-4588;;;;Fischer, A., 2011, Cryosphere, 5, 107-124, 10.5194/tc-5-107-2011;
AT;HINTEREIS F.;491;521;19699999;19599999;9.7;;-1500;;;;Finsterwalder, Rü., and H. Rentsch, 1980, Z. Gletsch.kd. Glazialgeol., 16, 111-115;
AT;HINTEREIS F.;491;522;19790830;19690901;;;3176;;;;Fischer, A., 2011, Cryosphere, 5, 107-124, 10.5194/tc-5-107-2011;
AT;HINTEREIS F.;491;523;19799999;19699999;9.08;100;-1363;;;;;Area from table MASS_BALANCE.
AT;HINTEREIS F.;491;524;19919999;19790830;;;-15412;;;;Fischer, A., 2011, Cryosphere, 5, 107-124, 10.5194/tc-5-107-2011;
AT;HINTEREIS F.;491;525;19919999;19799999;8.884;-991;-9275;;;;;Area from table MASS_BALANCE.
AT;HINTEREIS F.;491;526;19970901;19910901;8.53;-167;-3509;;DR. L.N. BRAUN;Commission for Glaciology, Bavarian Academy of Sciences, Marstallplatz 8, DE - 80539 München;;
AT;HINTEREIS F.;491;527;19970912;19919999;;;-5176;;;;Fischer, A., 2011, Cryosphere, 5, 107-124, 10.5194/tc-5-107-2011;
AT;HINTEREIS F.;491;528;20060909;19970912;;;-11882;;;;Fischer, A., 2011, Cryosphere, 5, 107-124, 10.5194/tc-5-107-2011;
AT;HOCHJOCH F.;492;529;19400701;19070701;9.998;-1020;-12210;;;;"Cogley, G., 2009, Ann. Glaciol., 50, 96-100, 10.3189/172756409787769744; Finsterwalder, Ri., 1953, Z. Gletsch.kd. Glazialgeol., 2, 189-239";Methods used for survey/reference years are: TM/TP.
AT;HORN K. (ZILLER);589;575;19500701;19210701;3.85;-1160;-21460;;;;"Finsterwalder, Rü., and H. Rentsch, 1980, Z. Gletsch.kd. Glazialgeol., 16, 111-115; Finsterwalder, Ri., 1953, Z. Gletsch.kd. Glazialgeol., 2, 189-239";
AT;HORN K. (ZILLER);589;576;19600701;19500701;3.787;-60;1400;;;;"Finsterwalder, Rü., and H. Rentsch, 1980, Z. Gletsch.kd. Glazialgeol., 16, 111-115; Finsterwalder, Rü., and H. Rentsch, 1976, Z. Gletsch.kd. Glazialgeol., 12, 29-35";
AT;HORN K. (ZILLER);589;577;19690701;19600701;4.19;;5220;;;;"Finsterwalder, Rü., and H. Rentsch, 1980, Z. Gletsch.kd. Glazialgeol., 16, 111-115; Finsterwalder, Rü., and H. Rentsch, 1976, Z. Gletsch.kd. Glazialgeol., 12, 29-35";
AT;HORN K. (ZILLER);589;578;19790905;19690701;4.061;274;1748;;;;Finsterwalder, Rü., and H. Rentsch, 1980, Z. Gletsch.kd. Glazialgeol., 16, 111-115;
AT;HORN K. (ZILLER);589;579;19890917;19790905;3.87;-338;-3508;;;;Finsterwalder, Rü., and H. Rentsch, 1992, Z. Gletsch.kd. Glazialgeol., 27/28, 165-172;
AT;HORN K. (ZILLER);589;580;19960701;19890917;3.417;-418;-9459;;DR. L.N. BRAUN;Commission for Glaciology, Bavarian Academy of Sciences, Marstallplatz 8, DE - 80539 München;;
AT;HORN K. (ZILLER);589;581;19990701;19890917;3.417;-420;-11800;;;;Cogley, G., 2009, Ann. Glaciol., 50, 96-100, 10.3189/172756409787769744;Methods used for survey/reference years are: TP/AP.
AT;HORN K. (ZILLER);589;582;20090923;19999999;3.113388;-171.396;-8889;4200;Christoph Mayer;Commission for Glaciology of the Bavarian Academy of Sciences and Humanities;;
AT;JAMTAL F.;480;483;20020919;19960901;;;-2353;;;;Fischer, A., 2011, Cryosphere, 5, 107-124, 10.5194/tc-5-107-2011;
AT;JAMTAL F.;480;484;20061001;20020919;;;-5882;;;;Fischer, A., 2011, Cryosphere, 5, 107-124, 10.5194/tc-5-107-2011;
AT;KESSELWAND F.;507;530;19710818;19690901;;;706;;;;Fischer, A., 2011, Cryosphere, 5, 107-124, 10.5194/tc-5-107-2011;
AT;KESSELWAND F.;507;531;19970912;19710818;;;-4118;;;;Fischer, A., 2011, Cryosphere, 5, 107-124, 10.5194/tc-5-107-2011;
AT;KESSELWAND F.;507;532;20060909;19970912;;;-5882;;;;Fischer, A., 2011, Cryosphere, 5, 107-124, 10.5194/tc-5-107-2011;
AT;OEDENWINKEL K.;559;548;18909999;18509999;2.801965;-484;-17220;1000;Jonathan Carrivick;University of Leeds;Carrivick, J.L., et al., 2015, Geogr. Ann., 97A, 543-562, 10.1111/geoa.12100;
AT;OEDENWINKEL K.;559;549;19299999;18909999;2.51;-292;-4147;1000;Jonathan Carrivick;University of Leeds;Carrivick, J.L., et al., 2015, Geogr. Ann., 97A, 543-562, 10.1111/geoa.12100;
AT;OEDENWINKEL K.;559;550;19349999;19299999;2.50536;-5;-247;1000;Jonathan Carrivick;University of Leeds;Carrivick, J.L., et al., 2015, Geogr. Ann., 97A, 543-562, 10.1111/geoa.12100;
AT;OEDENWINKEL K.;559;551;19699999;19349999;2.135562;-370;630;1000;Jonathan Carrivick;University of Leeds;Carrivick, J.L., et al., 2015, Geogr. Ann., 97A, 543-562, 10.1111/geoa.12100;
AT;OEDENWINKEL K.;559;552;19779999;19699999;2.074788;-61;1449;1000;Jonathan Carrivick;University of Leeds;Carrivick, J.L., et al., 2015, Geogr. Ann., 97A, 543-562, 10.1111/geoa.12100;
AT;OEDENWINKEL K.;559;553;19859999;19779999;2.001782;-73;-20209;1000;Jonathan Carrivick;University of Leeds;Carrivick, J.L., et al., 2015, Geogr. Ann., 97A, 543-562, 10.1111/geoa.12100;
AT;OEDENWINKEL K.;559;554;19889999;19859999;2.044243;42;235;1000;Jonathan Carrivick;University of Leeds;Carrivick, J.L., et al., 2015, Geogr. Ann., 97A, 543-562, 10.1111/geoa.12100;
AT;OEDENWINKEL K.;559;555;19929999;19889999;2.006779;-37;2721;1000;Jonathan Carrivick;University of Leeds;Carrivick, J.L., et al., 2015, Geogr. Ann., 97A, 543-562, 10.1111/geoa.12100;
AT;OEDENWINKEL K.;559;556;19989999;19929999;1.96515;-42;-20246;1000;Jonathan Carrivick;University of Leeds;Carrivick, J.L., et al., 2015, Geogr. Ann., 97A, 543-562, 10.1111/geoa.12100;
AT;OEDENWINKEL K.;559;557;20089999;19989999;1.96;-5;-1703;1000;Jonathan Carrivick;University of Leeds;Carrivick et al. (2015), Geografiska Annaler: Series A, Physical Geography. 97 (3), p. 543-562.;
AT;PASTERZE;566;558;19810701;19640701;18.9;-650;-7200;;;;"Cogley, G., 2009, Ann. Glaciol., 50, 96-100, 10.3189/172756409787769744; Tintor, W., and H. Wakonigg, 1998, Z. Gletsch.kd. Glazialgeol., 34, 161-166";Methods used for survey/reference years are: AP/AP.
AT;SCHLEGEIS K.;586;561;19500701;19210701;5.55;-1670;-14210;;;;"Finsterwalder, Rü., and H. Rentsch, 1980, Z. Gletsch.kd. Glazialgeol., 16, 111-115; Finsterwalder, Ri., 1953, Z. Gletsch.kd. Glazialgeol., 2, 189-239";
AT;SCHLEGEIS K.;586;562;19590701;19500701;5.394;-160;2700;;;;"Finsterwalder, Rü., and H. Rentsch, 1980, Z. Gletsch.kd. Glazialgeol., 16, 111-115; Finsterwalder, Rü., and H. Rentsch, 1976, Z. Gletsch.kd. Glazialgeol., 12, 29-35";
AT;SCHLEGEIS K.;586;563;19690701;19590701;5.394;0;4100;;;;"Finsterwalder, Rü., and H. Rentsch, 1980, Z. Gletsch.kd. Glazialgeol., 16, 111-115; Finsterwalder, Rü., and H. Rentsch, 1976, Z. Gletsch.kd. Glazialgeol., 12, 29-35";
AT;SCHLEGEIS K.;586;564;19790905;19690701;5.636;242;2325;;;;Finsterwalder, Rü., and H. Rentsch, 1980, Z. Gletsch.kd. Glazialgeol., 16, 111-115;
AT;SCHLEGEIS K.;586;565;19890918;19790905;5.54;-182;-5888;;;;Finsterwalder, Rü., and H. Rentsch, 1992, Z. Gletsch.kd. Glazialgeol., 27/28, 165-172;
AT;SCHLEGEIS K.;586;566;19990701;19890918;4.085;-915;-9163;;DR. L.N. BRAUN;Commission for Glaciology, Bavarian Academy of Sciences, Marstallplatz 8, DE - 80539 München;;
AT;SCHLEGEIS K.;586;567;20090923;19999999;4.31334;-231.804;-6595;4200;Christoph Mayer;Commission for Glaciology of the Bavarian Academy of Sciences and Humanities;;
AT;SCHWARZENSTEIN;588;568;19500701;19210701;4.62;-1180;-24360;;;;"Finsterwalder, Rü., and H. Rentsch, 1980, Z. Gletsch.kd. Glazialgeol., 16, 111-115; Finsterwalder, Ri., 1953, Z. Gletsch.kd. Glazialgeol., 2, 189-239";
AT;SCHWARZENSTEIN;588;569;19600701;19500701;4.682;60;-700;;;;"Finsterwalder, Rü., and H. Rentsch, 1980, Z. Gletsch.kd. Glazialgeol., 16, 111-115; Finsterwalder, Rü., and H. Rentsch, 1976, Z. Gletsch.kd. Glazialgeol., 12, 29-35";
AT;SCHWARZENSTEIN;588;570;19690701;19600701;4.93;;3150;;;;"Finsterwalder, Rü., and H. Rentsch, 1980, Z. Gletsch.kd. Glazialgeol., 16, 111-115; Finsterwalder, Rü., and H. Rentsch, 1976, Z. Gletsch.kd. Glazialgeol., 12, 29-35";
AT;SCHWARZENSTEIN;588;571;19790905;19690701;4.921;237;2869;;;;Finsterwalder, Rü., and H. Rentsch, 1980, Z. Gletsch.kd. Glazialgeol., 16, 111-115;
AT;SCHWARZENSTEIN;588;572;19890917;19790905;4.48;-166;-6361;;;;Finsterwalder, Rü., and H. Rentsch, 1992, Z. Gletsch.kd. Glazialgeol., 27/28, 165-172;
AT;SCHWARZENSTEIN;588;573;19990701;19890917;4.118;-562;-7489;;DR. L.N. BRAUN;Commission for Glaciology, Bavarian Academy of Sciences, Marstallplatz 8, DE - 80539 München;;
AT;SCHWARZENSTEIN;588;574;20090923;19999999;3.742416;-317.7;-9536;4200;Christoph Mayer;Commission for Glaciology of the Bavarian Academy of Sciences and Humanities;;
AT;STUBACHER SONNBLICK K.;573;559;19980808;19690901;;;-4118;;;;Fischer, A., 2011, Cryosphere, 5, 107-124, 10.5194/tc-5-107-2011;
AT;SULZENAU F.;600;597;19500701;19320701;4.46;-640;-2700;;;;"Finsterwalder, Rü., and H. Rentsch, 1980, Z. Gletsch.kd. Glazialgeol., 16, 111-115; Finsterwalder, Ri., 1953, Z. Gletsch.kd. Glazialgeol., 2, 189-239";
AT;SULZENAU F.;600;598;19590701;19500701;4.746;290;-1800;;;;"Finsterwalder, Rü., and H. Rentsch, 1980, Z. Gletsch.kd. Glazialgeol., 16, 111-115; Finsterwalder, Rü., and H. Rentsch, 1976, Z. Gletsch.kd. Glazialgeol., 12, 29-35";
AT;SULZENAU F.;600;599;19690701;19590701;4.77;;3300;;;;"Finsterwalder, Rü., and H. Rentsch, 1980, Z. Gletsch.kd. Glazialgeol., 16, 111-115; Finsterwalder, Rü., and H. Rentsch, 1976, Z. Gletsch.kd. Glazialgeol., 12, 29-35";
AT;SULZENAU F.;600;600;19790814;19690701;4.77;114;771;;;;Finsterwalder, Rü., and H. Rentsch, 1980, Z. Gletsch.kd. Glazialgeol., 16, 111-115;
AT;SULZENAU F.;600;601;19890701;19790814;4.48;-45;-4396;;;;;
AT;SULZENAU F.;600;602;19970901;19890901;4.473;-229;-4951;;DR. L.N. BRAUN;Commission for Glaciology, Bavarian Academy of Sciences, Marstallplatz 8, DE - 80539 München;;
AT;SULZENAU F.;600;603;20090923;19979999;2.71458;-101.952;-9563;4200;Christoph Mayer;Commission for Glaciology of the Bavarian Academy of Sciences and Humanities;;
AT;SULZENAU F. STUBE;1454;895;19899999;19799999;;;-4810;;;;;
AT;SULZENAU F. STUBE;1454;896;20090923;19979999;1.572516;-110.16;-12111;4200;Christoph Mayer;Commission for Glaciology of the Bavarian Academy of Sciences and Humanities;;
AT;UEBERGOSSE ALM;543;542;20020918;19690901;;;-9059;;;;Fischer, A., 2011, Cryosphere, 5, 107-124, 10.5194/tc-5-107-2011;
AT;VERNAGT F.;489;488;19129999;18899999;11.548;-30;-4900;;;;Brunner, K., and H. Rentsch, 1972, Z. Gletsch.kd. Glazialgeol., 8, 11-25;old maps
AT;VERNAGT F.;489;487;19129999;18899999;11.509;-40.227;-4209;;;;Mayer, C., et al., 2012, Z. Gletsch.kd. Glazialgeol., 45/46, 259-280;
AT;VERNAGT F.;489;489;19389999;19129999;10.41;-1098.344;-9204;;;;Mayer, C., et al., 2012, Z. Gletsch.kd. Glazialgeol., 45/46, 259-280;
AT;VERNAGT F.;489;490;19389999;19129999;10.48;;-7600;;;;Brunner, K., and H. Rentsch, 1972, Z. Gletsch.kd. Glazialgeol., 8, 11-25;old maps
AT;VERNAGT F.;489;491;19549999;19389999;9.474;-936.736;-6864;;;;Mayer, C., et al., 2012, Z. Gletsch.kd. Glazialgeol., 45/46, 259-280;
AT;VERNAGT F.;489;493;19699999;19389999;9.563;;-9300;;;;Brunner, K., and H. Rentsch, 1972, Z. Gletsch.kd. Glazialgeol., 8, 11-25;old maps
AT;VERNAGT F.;489;494;19699999;19549999;9.466;-8.025;1545;;;;Mayer, C., et al., 2012, Z. Gletsch.kd. Glazialgeol., 45/46, 259-280;
AT;VERNAGT F.;489;495;19799999;19699999;9.397;-68.77;1290;;;;Mayer, C., et al., 2012, Z. Gletsch.kd. Glazialgeol., 45/46, 259-280;
AT;VERNAGT F.;489;493;19799999;19699999;9.55;116;3043;;;;;Area from table MASS_BALANCE.
AT;VERNAGT F.;489;497;19829999;19799999;9.35;;-900;;;;Reinhardt, W., and H. Rentsch, 1986, Ann. Glaciol., 8, 151-155;Photogrammetric techniques after Ebbner and Eder, 19
AT;VERNAGT F.;489;498;19900824;19820701;9.205;-318;-4613;;;;;
AT;VERNAGT F.;489;499;19909999;19799999;8.982;-414.854;-5753;;;;Mayer, C., et al., 2012, Z. Gletsch.kd. Glazialgeol., 45/46, 259-280;
AT;VERNAGT F.;489;500;19970912;19690901;;;-3059;;;;Fischer, A., 2011, Cryosphere, 5, 107-124, 10.5194/tc-5-107-2011;
AT;VERNAGT F.;489;501;19990701;19900824;8.71;-385;-7217;;DR. L.N. BRAUN;Commission for Glaciology, Bavarian Academy of Sciences, Marstallplatz 8, DE - 80539 München;Finsterwalder, Rü., and H. Rentsch, 1992, Z. Gletsch.kd. Glazialgeol., 27/28, 165-172;
AT;VERNAGT F.;489;502;19999999;19909999;8.68;-301.689;-7884;;;;Mayer, C., et al., 2012, Z. Gletsch.kd. Glazialgeol., 45/46, 259-280;
AT;VERNAGT F.;489;503;20039999;19999999;8.43;-250.272;-1520;;;;Mayer, C., et al., 2012, Z. Gletsch.kd. Glazialgeol., 45/46, 259-280;
AT;VERNAGT F.;489;505;20060909;19970912;;;-12824;;;;Fischer, A., 2011, Cryosphere, 5, 107-124, 10.5194/tc-5-107-2011;
AT;VERNAGT F.;489;504;20069999;20039999;8.173;-256.935;-3192;;;;Mayer, C., et al., 2012, Z. Gletsch.kd. Glazialgeol., 45/46, 259-280;
AT;VERNAGT F.;489;507;20099999;20069999;7.748;-425.211;-3102;;;;Mayer, C., et al., 2012, Z. Gletsch.kd. Glazialgeol., 45/46, 259-280;
AT;WAXEGG K.;590;583;19500701;19210701;3.79;-930;-16530;;;;"Finsterwalder, Rü., and H. Rentsch, 1980, Z. Gletsch.kd. Glazialgeol., 16, 111-115; Finsterwalder, Ri., 1953, Z. Gletsch.kd. Glazialgeol., 2, 189-239";
AT;WAXEGG K.;590;584;19590701;19500701;3.881;90;2790;;;;"Finsterwalder, Rü., and H. Rentsch, 1980, Z. Gletsch.kd. Glazialgeol., 16, 111-115; Finsterwalder, Rü., and H. Rentsch, 1976, Z. Gletsch.kd. Glazialgeol., 12, 29-35";
AT;WAXEGG K.;590;585;19690701;19590701;4.12;;6700;;;;"Finsterwalder, Rü., and H. Rentsch, 1980, Z. Gletsch.kd. Glazialgeol., 16, 111-115; Finsterwalder, Rü., and H. Rentsch, 1976, Z. Gletsch.kd. Glazialgeol., 12, 29-35";
AT;WAXEGG K.;590;586;19790905;19690701;4.136;255;1547;;;;Finsterwalder, Rü., and H. Rentsch, 1980, Z. Gletsch.kd. Glazialgeol., 16, 111-115;
AT;WAXEGG K.;590;587;19890917;19790905;4.08;-94;-2120;;;;Finsterwalder, Rü., and H. Rentsch, 1992, Z. Gletsch.kd. Glazialgeol., 27/28, 165-172;
AT;WAXEGG K.;590;588;20000701;19890917;3.207;-828;-9293;;DR. L.N. BRAUN;Commission for Glaciology, Bavarian Academy of Sciences, Marstallplatz 8, DE - 80539 München;;
AT;WAXEGG K.;590;589;20090923;19999999;3.149316;-195.48;-5929;4200;Christoph Mayer;Commission for Glaciology of the Bavarian Academy of Sciences and Humanities;;
AT;WURTEN K.;545;543;19300701;18719999;3.01;-480;-13340;;;;"Cogley, G., 2009, Ann. Glaciol., 50, 96-100, 10.3189/172756409787769744; Auer, I., et al., 1995, Oester. Beitr. Meteor. Geophys., 12, 143p";Methods used for survey/reference years are: TM/XX.
