PU;NAME;WGMS_ID;SURVEY_ID;SURVEY_DATE;REFERENCE_DATE;AREA_SURVEY_YEAR;AREA_CHANGE;ELEV_CH;ELEV_CH_UNC;INVESTIGATOR;SPONS_AGENCY;REFERENCE;REMARKS
CH;BLAU SCHNEE;4789;1942;20089999;19839999;0.019;-18;-12050;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 0.0. ID SGI 2010: A22/02.
CH;BLAUBERG;4876;2028;20109999;19869999;0.072;-137;-22243;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 719.0. ID SGI 2010: A51F/04.
CH;BLAUBERG-S;4873;2025;20109999;19659999;0.012;-21;-9782;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 747.0. ID SGI 2010: A51E/58n.
CH;BLAUGAND;4893;2044;20109999;19679999;0.063;-31;-12550;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 458.0. ID SGI 2010: A51F/36.
CH;BLES VADREC DA LA;4667;1825;20099999;19899999;0.018;-232;-27870;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 1749.0. ID SGI 2010: A13G/10.
CH;BLINNEN-E;5395;2534;20099999;19739999;0.043;-61;-13797;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 1761.0. ID SGI 2010: B45/25n.
CH;BLINNEN-III (PART OF B45/09);5397;2536;20099999;19879999;0.278;-478;-21060;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 1705.0. ID SGI 2010: B45/29n.
CH;BLINNEN-SE;5396;2535;20099999;19739999;0.039;-79;-15233;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 1784.0. ID SGI 2010: B45/26n.
CH;BLUEEMLISALPFIRN;4942;2091;20109999;19819999;2.101;-422;-19652;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 161.0. ID SGI 2010: A51G/11.
CH;BLUEEMLISALPHORN-SE;5191;2333;20119999;19739999;0.31;-44;-985;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 1435.0. ID SGI 2010: A55B/27n.
CH;BLUEMLISALP;436;397;20119999;19869999;2.216;-1000;-15180;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 1293.0. ID SGI 2010: A55B/02.
